algo,variant,group,seed,auc
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 13",0.8638821832243064
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 14",0.8714077096231289
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 15",0.8719881049913357
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 16",0.8722803974544425
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 17",0.8660406964422411
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 18",0.8714077096231289
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 19",0.8659047535978842
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 2",0.8562445960363265
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 20",0.8719881049913357
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 21",0.8714077096231289
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 22",0.8777519766152253
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 23",0.8562445960363265
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 24",0.8714077096231289
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 25",0.8714077096231289
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 3",0.8773762856328434
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 4",0.870770946674079
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 5",0.8592126213920185
